upload_type,publication_type,title,creators,description,access_right,license,publication_date,doi,contributors,communities,language,keywords,custom,journal_title,journal_volume,journal_issue,journal_pages,partof_title,partof_pages
publication,article,"Cameroonian fruit bats harbor divergent viruses, including rotavirus H, bastroviruses, and picobirnaviruses using an alternative genetic code","[{'name': 'Yinda, Claude Kwe'}, {'name': 'Ghogomu, Stephen Mbigha'}, {'name': 'Conceição-Neto, Nádia'}, {'name': 'Beller, Leen'}, {'name': 'Deboutte, Ward'}, {'name': 'Vanhulle, Emiel'}, {'name': 'Maes, Piet'}, {'name': 'Van Ranst, Marc'}, {'name': 'Matthijnssens, Jelle'}]","Most human emerging infectious diseases originate from wildlife and bats are a major reservoir of viruses, a few of which have been highly pathogenic to humans. In some regions of Cameroon, bats are hunted and eaten as a delicacy. This close proximity between human and bats provides ample opportunity for zoonotic events. To elucidate the viral diversity of Cameroonian fruit bats, we collected and metagenomically screened eighty-seven fecal samples of Eidolon helvum and Epomophorus gambianus fruit bats. The results showed a plethora of known and novel viruses. Phylogenetic analyses of the eleven gene segments of the first complete bat rotavirus H genome, showed clearly separated clusters of human, porcine, and bat rotavirus H strains, not indicating any recent interspecies transmission events. Additionally, we identified and analyzed a bat bastrovirus genome (a novel group of recently described viruses, related to astroviruses and hepatitis E viruses), confirming their recombinant nature, and provide further evidence of additional recombination events among bat bastroviruses. Interestingly, picobirnavirus-like RNA-dependent RNA polymerase gene segments were identified using an alternative mitochondrial genetic code, and further principal component analyses suggested that they may have a similar lifestyle to mitoviruses, a group of virus-like elements known to infect the mitochondria of fungi. Although identified bat coronavirus, parvovirus, and cyclovirus strains belong to established genera, most of the identified partitiviruses and densoviruses constitute putative novel genera in their respective families. Finally, the results of the phage community analyses of these bats indicate a very diverse geographically distinct bat phage population, probably reflecting different diets and gut bacterial ecosystems.",open,cc-by,2018-3-31,10.1093/ve/vey008,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['Coronaviridae', 'Viridae', 'corona viruses', 'biotic associations', 'CETAF-taskforce', 'covid', 'covid-19', 'pathogens', 'biotic interaction', 'virus-host', 'biotic relations', 'pathogen-host']","{'obo:RO_0002453': [{'subject': ['bat'], 'object': ['beta-Coronavirus']}]}",Virus Evolution,4,1,1--15,,
publication,article,Discovery of Novel Bat Coronaviruses in South China That Use the Same Receptor as Middle East Respiratory Syndrome Coronavirus,"[{'name': 'Luo, Chu-Ming'}, {'name': 'Wang, Ning'}, {'name': 'Yang, Xing-Lou'}, {'name': 'Liu, Hai-Zhou'}, {'name': 'Zhang, Wei'}, {'name': 'Li, Bei'}, {'name': 'Hu, Ben'}, {'name': 'Peng, Cheng'}, {'name': 'Geng, Qi-Bin'}, {'name': 'Zhu, Guang-Jian'}, {'name': 'Li, Fang'}, {'name': 'Shi, Zheng-Li'}]","Middle East respiratory syndrome coronavirus (MERS-CoV) has represented a human health threat since 2012. Although several MERS-related CoVs that belong to the same species as MERS-CoV have been identified from bats, they do not use the MERS-CoV receptor, dipeptidyl peptidase 4 (DPP4). Here, we screened 1,059 bat samples from at least 30 bat species collected in different regions in south China and identified 89 strains of lineage C betacoronaviruses, including Tylonycteris pachypus coronavirus HKU4, Pipistrellus pipistrelluscoronavirus HKU5, and MERS-related CoVs. We sequenced the full-length genomes of two positive samples collected from the great evening bat, Ia io, from Guangdong Province. The two genomes were highly similar and exhibited genomic structures identical to those of other lineage C betacoronaviruses. While they exhibited genome-wide nucleotide identities of only 75.3 to 81.2\% with other MERS-related CoVs, their gene-coding regions were highly similar to their counterparts, except in the case of the spike proteins. Further protein-protein interaction assays demonstrated that the spike proteins of these MERS-related CoVs bind to the receptor DPP4. Recombination analysis suggested that the newly discovered MERS-related CoVs have acquired their spike genes from a DPP4-recognizing bat coronavirus HKU4. Our study provides further evidence that bats represent the evolutionary origins of MERS-CoV.IMPORTANCE Previous studies suggested that MERS-CoV originated in bats. However, its evolutionary path from bats to humans remains unclear. In this study, we discovered 89 novel lineage C betacoronaviruses in eight bat species. We provide evidence of a MERS-related CoV derived from the great evening bat that uses the same host receptor as human MERS-CoV. This virus also provides evidence for a natural recombination event between the bat MERS-related CoV and another bat coronavirus, HKU4. Our study expands the host ranges of MERS-related CoV and represents an important step toward establishing bats as the natural reservoir of MERS-CoV. These findings may lead to improved epidemiological surveillance of MERS-CoV and the prevention and control of the spread of MERS-CoV to humans.",open,cc-by,2018-01-01,10.1128/JVI.00116-18,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['covid', 'Middle East Respiratory Syndrome Coronavirus', 'covid-19', 'Viral Proteins', 'Sequence Homology', 'Humans', 'Amino Acid Sequence', 'Coronaviridae', 'Evolution', 'Molecular', 'Coronavirus Infections', 'pathogens', 'bat', 'Host Specificity', 'Viridae', 'Animals', 'Genome', 'Viral', 'Phylogeny', 'biotic interaction', 'dipeptidyl peptidase 4', 'virus-host', 'MERS-related coronavirus', 'corona viruses', 'Receptors', 'biotic associations', 'CETAF-taskforce', 'Virus', 'virus discovery', 'biotic relations', 'pathogen-host', 'Chiroptera']","{'obo:RO_0002453': [{'subject': ['Ia io', 'great evening bats'], 'object': ['MERS-related CoVs']}, {'subject': ['Neoromicia capensis', 'bat'], 'object': ['MERS-related CoVs']}, {'subject': ['Pipistrellus abramus', 'Japanese pipistrelle'], 'object': ['Pipistrellus pipistrellus coronavirus HKU5', 'HKU5']}, {'subject': ['Pipistrellus minus', 'Lesser pipistrelle'], 'object': ['Pipistrellus pipistrellus coronavirus HKU5', 'HKU5']}, {'subject': ['Pipistrellus pipistrellus', 'Common pipistrelle'], 'object': ['Pipistrellus pipistrellus coronavirus HKU5', 'HKU5']}, {'subject': ['Tylonycteris pachypus', 'Lesser bamboo bat'], 'object': ['Tylonycteris pachypus coronavirus HKU4', 'HKU4']}, {'subject': ['Vespertilio superans', 'Asian particolored bat'], 'object': ['MERS-related CoVs']}]}",Journal of Virology,92,13,1--15,,
publication,preprint,Evolutionary origins of the SARS-CoV-2 sarbecovirus lineage responsible for the COVID-19 pandemic,"[{'name': 'Boni, Maciej F'}, {'name': 'Lemey, Philippe'}, {'name': 'Jiang, Xiaowei'}, {'name': 'Lam, Tommy Tsan-Yuk'}, {'name': 'Perry, Blair'}, {'name': 'Castoe, Todd'}, {'name': 'Rambaut, Andrew'}, {'name': 'Robertson, David L'}]","Abstract 
There are outstanding evolutionary questions on the recent emergence of coronavirus SARS-CoV-2/hCoV-19 in Hubei province that caused the COVID-19 pandemic, including (1) the relationship of the new virus to the SARS-related coronaviruses, (2) the role of bats as a reservoir species, (3) the potential role of other mammals in the emergence event, and (4) the role of recombination in viral emergence. Here, we address these questions and find that the sarbecoviruses – the viral subgenus responsible for the emergence of SARS-CoV and SARS-CoV-2 – exhibit frequent recombination, but the SARS-CoV-2 lineage itself is not a recombinant of any viruses detected to date. In order to employ phylogenetic methods to date the divergence events between SARS-CoV-2 and the bat sarbecovirus reservoir, recombinant regions of a 68-genome sarbecovirus alignment were removed with three independent methods. Bayesian evolutionary rate and divergence date estimates were consistent for all three recombination-free alignments and robust to two different prior specifications based on HCoV-OC43 and MERS-CoV evolutionary rates. Divergence dates between SARS-CoV-2 and the bat sarbecovirus reservoir were estimated as 1948 (95\% HPD: 1879-1999), 1969 (95\% HPD: 1930-2000), and 1982 (95\% HPD: 1948-2009). Despite intensified characterization of sarbecoviruses since SARS, the lineage giving rise to SARS-CoV-2 has been circulating unnoticed for decades in bats and been transmitted to other hosts such as pangolins. The occurrence of a third significant coronavirus emergence in 17 years together with the high prevalence and virus diversity in bats implies that these viruses are likely to cross species boundaries again. 

In Brief 
The Betacoronavirus SARS-CoV-2 is a member of the sarbecovirus subgenus which shows frequent recombination in its evolutionary history. We characterize the extent of this genetic exchange and identify non-recombining regions of the sarbecovirus genome using three independent methods to remove the effects of recombination. Using these non-recombining genome regions and prior information on coronavirus evolutionary rates, we obtain estimates from three approaches that the most likely divergence date of SARS-CoV-2 from its most closely related available bat sequences ranges from 1948 to 1982. 


Key Points 


RaTG13 is the closest available bat virus to SARS-CoV-2; a sub-lineage of these bat viruses is able to infect humans. Two sister lineages of the RaTG13/SARS-CoV-2 lineage infect Malayan pangolins. 


The sarbecoviruses show a pattern of deep recombination events, indicating that there are high levels of co-infection in horseshoe bats and that the viral pool can generate novel allele combinations and substantial genetic diversity; the sarbecoviruses are efficient ‘explorers’ of phenotype space. 


The SARS-CoV-2 lineage is not a recent recombinant, at least not involving any of the bat or pangolin viruses sampled to date. 


Non-recombinant regions of the sarbecoviruses can be identified, allowing for phylogenetic inference and dating to be performed. We constructed three such regions using different methods. 


We estimate that RaTG13 and SARS-CoV-2 diverged 40 to 70 years ago. There is a diverse unsampled reservoir of generalist viruses established in horseshoe bats. 


While an intermediate host responsible for the zoonotic event cannot be ruled out, the relevant evolution for spillover to humans very likely occurred in horseshoe bats.",open,cc-by,2020-3-31,10.1101/2020.03.30.015008,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['Coronaviridae', 'Viridae', 'corona viruses', 'biotic associations', 'CETAF-taskforce', 'covid', 'covid-19', 'pathogens', 'biotic interaction', 'virus-host', 'biotic relations', 'pathogen-host']","{'obo:RO_0002453': [{'subject': ['Rhinolophus affinis', 'horseshoe bat'], 'object': ['bat sarbecovirus', 'RaTG13']}, {'subject': ['horseshoe bats'], 'object': ['SARS-CoV-2/hCoV-19']}, {'subject': ['pangolins'], 'object': ['SARS-CoV-2']}]}",bioRxiv,,,1--25,,
publication,article,From SARS to MERS: 10 years of research on highly pathogenic human coronaviruses,"[{'name': 'Hilgenfeld, Rolf'}, {'name': 'Peiris, Malik'}]",No abstract found,open,cc-by,2013-10-31,10.1016/j.antiviral.2013.08.015,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['Coronaviridae', 'Viridae', 'corona viruses', 'biotic associations', 'CETAF-taskforce', 'covid', 'covid-19', 'pathogens', 'biotic interaction', 'virus-host', 'biotic relations', 'pathogen-host']","{'obo:RO_0002453': [{'subject': ['Nyctereutes procyonoides', 'raccoon dogs'], 'object': ['SARS-CoV']}, {'subject': ['Paguma larvata', 'Himalayan palm civets'], 'object': ['SARS-CoV']}, {'subject': ['Pipistrellus ', 'Pipistrellus bats'], 'object': ['viruses closely related to the MERSCoV']}, {'subject': ['Rhinolophid ', 'insectivorous Rhinolophid bats'], 'object': ['SARS-CoV']}, {'subject': ['bat'], 'object': ['bat coronavirus HKU4']}, {'subject': ['dromedary camels'], 'object': ['MERS-CoV']}, {'subject': ['feline'], 'object': ['feline coronavirus', 'FCoV']}, {'subject': ['porcine'], 'object': ['transmissible gastroenteritis virus', 'TGEV']}]}",Antiviral Research,100,1,286--295,,
publication,article,Animal models of Middle East respiratory syndrome coronavirus infection,"[{'name': 'van Doremalen, Neeltje'}, {'name': 'Munster, Vincent J.'}]","The emergence of the Middle East respiratory syndrome coronavirus (MERS-CoV) in 2012 marked the second time that a new, highly pathogenic coronavirus has emerged in the human population in the 21st century. In this review, we discuss the current state of knowledge of animal models of MERS-CoV infection. Commonly used laboratory animal species such as Syrian hamsters, mice and ferrets are not susceptible to MERS-CoV, due to differences in the MERS-CoV receptor dipeptidyl peptidase 4 (DPP4). The initially developed animal models comprise two nonhuman primate species, the rhesus macaque and the common marmoset. Rhesus macaques develop a mild to moderate respiratory disease upon inoculation, reminiscent of milder MERS cases, whereas marmosets develop a moderate to severe respiratory disease, recapitulating the severe disease observed in some patients. Dromedary camels, considered to be the reservoir for MERS-CoV, develop a mild upper respiratory tract infection with abundant viral shedding. Although normal mice are not susceptible to MERS-CoV, expression of the human DPP4 (hDPP4) overcomes the lack of susceptibility. Transgenic hDPP4 mice develop severe and lethal respiratory disease upon inoculation with MERS-CoV. These hDPP4 transgenic mice are potentially the ideal first line animal model for efficacy testing of therapeutic and prophylactic countermeasures. Further characterization of identified countermeasures would ideally be performed in the common marmoset model, due to the more severe disease outcome. This article forms part of a symposium in Antiviral Research on “From SARS to MERS: research on highly pathogenic human coronaviruses.”",open,cc-by,2015-10-31,10.1016/j.antiviral.2015.07.005,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['MERS-CoV', 'Public health', 'Coronaviridae', 'Viridae', 'corona viruses', 'biotic associations', 'CETAF-taskforce', 'covid', 'covid-19', 'Emerging viruses', 'Coronavirus', 'Animal models', 'pathogens', 'biotic interaction', 'virus-host', 'biotic relations', 'pathogen-host', 'Middle East respiratory syndrome coronavirus']","{'obo:RO_0002453': [{'subject': ['Mus musculus', 'mouse'], 'object': ['Severe acute respiratory syndrome coronavirus', 'SARS-CoV']}, {'subject': ['Mustela putorius furo', 'ferrets'], 'object': ['Severe acute respiratory syndrome coronavirus', 'SARS-CoV']}, {'subject': ['dromedary camels'], 'object': ['Middle East respiratory syndrome coronavirus', 'MERS-CoV']}, {'subject': ['marmosets'], 'object': ['Middle East respiratory syndrome coronavirus', 'MERS-CoV']}, {'subject': ['mice'], 'object': ['Middle East respiratory syndrome coronavirus', 'MERS-CoV']}, {'subject': ['rabbit'], 'object': ['Middle East respiratory syndrome coronavirus', 'MERS-CoV']}, {'subject': ['rhesus macaque'], 'object': ['Middle East respiratory syndrome coronavirus', 'MERS-CoV']}]}",Antiviral Research,122,,28--38,,
publication,article,"Bats, emerging infectious diseases, and the rabies paradigm revisited","[{'name': 'Kuzmin, Ivan V.'}, {'name': 'Bozick, Brooke'}, {'name': 'Guagliardo, Sarah A.'}, {'name': 'Kunkel, Rebekah'}, {'name': 'Shak, Joshua R.'}, {'name': 'Tong, Suxiang'}, {'name': 'Rupprecht, Charles E.'}]","The significance of bats as sources of emerging infectious diseases has been increasingly appreciated, and new data have been accumulated rapidly during recent years. For some emerging pathogens the bat origin has been confirmed (such as lyssaviruses, henipaviruses, coronaviruses), for other it has been suggested (filoviruses). Several recently identified viruses remain to be 'orphan' but have a potential for further emergence (such as Tioman, Menangle, and Pulau viruses). In the present review we summarize information on major bat-associated emerging infections and discuss specific characteristics of bats as carriers of pathogens (from evolutionary, ecological, and immunological positions). We also discuss drivers and forces of an infectious disease emergence and describe various existing and potential approaches for control and prevention of such infections at individual, populational, and societal levels.",open,cc-by,2011-6-30,10.3402/ehtj.v4i0.7159,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['covid', 'covid-19', 'Coronaviridae', 'emerging infectious disease', 'prevention', 'pathogens', 'henipavirus', 'bats', 'Viridae', 'control', 'rabies', 'biotic interaction', 'virus-host', 'corona viruses', 'lyssavirus', 'filovirus', 'biotic associations', 'CETAF-taskforce', 'coronavirus', 'biotic relations', 'pathogen-host', 'Chiroptera']","{'obo:RO_0002453': [{'subject': ['Chaerephon sp.', 'bat'], 'object': ['SARS-CoV']}, {'subject': ['Eptesicus fuscus', 'bat'], 'object': ['CoV']}, {'subject': ['Hipposideridae', 'bat'], 'object': ['CoV']}, {'subject': ['Myotis lucifugus', 'bat'], 'object': ['CoV']}, {'subject': ['Myotis occultus', 'bat'], 'object': ['CoV']}, {'subject': ['Phyllostomidae', 'bat'], 'object': ['CoV']}, {'subject': ['Pteropidae', 'bat'], 'object': ['CoV']}, {'subject': ['Rhinolophus spp', 'bat'], 'object': ['SARS-like CoV']}, {'subject': ['Rhinolopidae', 'bat'], 'object': ['CoV']}, {'subject': ['Vespertilionidae', 'bat'], 'object': ['CoV']}, {'subject': ['bat'], 'object': ['Rf1']}, {'subject': ['bat'], 'object': ['SARSr-Rh-BatCoV Rp3']}]}",Emerging Health Threats Journal,4,,7159,,
publication,article,Antibodies to SARS Coronavirus in Civets,"[{'name': 'Tu, Changchun'}, {'name': 'Crameri, Gary'}, {'name': 'Kong, Xiangang'}, {'name': 'Chen, Jinding'}, {'name': 'Sun, Yanwei'}, {'name': 'Yu, Meng'}, {'name': 'Xiang, Hua'}, {'name': 'Xia, Xianzhu'}, {'name': 'Liu, Shengwang'}, {'name': 'Ren, Tao'}, {'name': 'Yu, Yedong'}, {'name': 'Eaton, Bryan T.'}, {'name': 'Xuan, Hua'}, {'name': 'Wang, Lin-Fa'}]",No abstract found,open,cc-by,2004-12-31,10.3201/eid1012.040520,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['Coronaviridae', 'Viridae', 'corona viruses', 'biotic associations', 'CETAF-taskforce', 'covid', 'covid-19', 'pathogens', 'biotic interaction', 'virus-host', 'biotic relations', 'pathogen-host']","{'obo:RO_0002453': [{'subject': ['Melogale moschata', 'Chinese ferret-badgers'], 'object': ['SARS-CoV']}, {'subject': ['Nyctereutes procyonoides', 'raccoon-dogs'], 'object': ['SARS-CoV']}, {'subject': ['Paguma larvata', 'palm civets'], 'object': ['SARS-CoV']}, {'subject': ['avian'], 'object': ['infectious bronchitis virus', 'SARS-CoV']}, {'subject': ['porcine'], 'object': ['porcine epidemic diarrhea virus', 'SARS-CoV']}, {'subject': ['porcine'], 'object': ['porcine hemagglutinating encephalomyelitis virus', 'SARS-CoV']}, {'subject': ['porcine'], 'object': ['transmissible gastroenteritis virus', 'SARS-CoV']}]}",Emerging Infectious Diseases,10,12,2244--2248,,
publication,article,Evolutionary Relationships between Bat Coronaviruses and Their Hosts,"[{'name': 'Cui, Jie'}, {'name': 'Han, Naijian'}, {'name': 'Streicker, Daniel'}, {'name': 'Li, Gang'}, {'name': 'Tang, Xianchun'}, {'name': 'Shi, Zhengli'}, {'name': 'Hu, Zhihong'}, {'name': 'Zhao, Guoping'}, {'name': 'Fontanet, Arnaud'}, {'name': 'Guan, Yi'}, {'name': 'Wang, Linfa'}, {'name': 'Jones, Gareth'}, {'name': 'Field, Hume E.'}, {'name': 'Daszak, Peter'}, {'name': 'Zhang, Shuyi'}]",No abstract found,open,cc-by,2007-10-31,10.3201/eid1310.070448,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['Coronaviridae', 'Viridae', 'corona viruses', 'biotic associations', 'CETAF-taskforce', 'covid', 'covid-19', 'pathogens', 'biotic interaction', 'virus-host', 'biotic relations', 'pathogen-host']","{'obo:RO_0002453': [{'subject': ['Miniopterus magnater'], 'object': ['SARS-like CoVs']}, {'subject': ['Myotis ricketti'], 'object': ['SARS-like CoVs']}, {'subject': ['Pipistrellus abramus'], 'object': ['SARS-like CoVs']}, {'subject': ['Pipistrellus pipistrellus'], 'object': ['SARS-like CoVs']}, {'subject': ['Rhinolophus ferrumequinum', 'horseshoe bats'], 'object': ['SARS-like CoVs']}, {'subject': ['Rhinolophus macrotis', 'horseshoe bats'], 'object': ['SARS-like CoVs']}, {'subject': ['Rhinolophus pearsoni', 'horseshoe bats'], 'object': ['SARS-like CoVs']}, {'subject': ['Rhinolophus sinicus', 'horseshoe bats'], 'object': ['SARS-like CoVs']}, {'subject': ['Scotophilus kuhlii'], 'object': ['SARS-like CoVs']}, {'subject': ['Tylonycteris pachypus'], 'object': ['SARS-like CoVs']}]}",Emerging Infectious Diseases,13,10,1526--1532,,
publication,article,"Human Betacoronavirus 2c EMC/2012–related Viruses in Bats, Ghana and Europe","[{'name': 'Annan, Augustina'}, {'name': 'Baldwin, Heather J.'}, {'name': 'Corman, Victor Max'}, {'name': 'Klose, Stefan M.'}, {'name': 'Owusu, Michael'}, {'name': 'Nkrumah, Evans Ewald'}, {'name': 'Badu, Ebenezer Kofi'}, {'name': 'Anti, Priscilla'}, {'name': 'Agbenyega, Olivia'}, {'name': 'Meyer, Benjamin'}, {'name': 'Oppong, Samuel'}, {'name': 'Sarkodie, Yaw Adu'}, {'name': 'Kalko, Elisabeth K.V.'}, {'name': 'Lina, Peter H.C.'}, {'name': 'Godlevska, Elena V.'}, {'name': 'Reusken, Chantal'}, {'name': 'Seebens, Antje'}, {'name': 'Gloza-Rausch, Florian'}, {'name': 'Vallo, Peter'}, {'name': 'Tschapka, Marco'}, {'name': 'Drosten, Christian'}, {'name': 'Drexler, Jan Felix'}]",No abstract found,open,cc-by,2013-3-31,10.3201/eid1903.121503,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['Coronaviridae', 'Viridae', 'corona viruses', 'biotic associations', 'CETAF-taskforce', 'covid', 'covid-19', 'pathogens', 'biotic interaction', 'virus-host', 'biotic relations', 'pathogen-host']","{'obo:RO_0002453': [{'subject': ['Nycteris cf. gambiensis', 'insectivorous bat'], 'object': ['Nycteris bat CoV']}, {'subject': ['Pipistrellus abramus', 'bat'], 'object': ['Pipistrellus bat coronavirus HKU5', 'HKU5']}, {'subject': ['Pipistrellus nathusii', 'bat'], 'object': ['VM314-associated Pipistrellus bat betacoronaviruses']}, {'subject': ['Pipistrellus pipistrellus', 'bat'], 'object': ['VM314']}, {'subject': ['Pipistrellus pipistrellus', 'bat'], 'object': ['VM314-associated Pipistrellus bat betacoronaviruses']}, {'subject': ['Pipistrellus pygmaeus', 'bat'], 'object': ['VM314-associated Pipistrellus bat betacoronaviruses']}, {'subject': ['Pipistrellus', 'bat'], 'object': ['Pipistrellus bat coronavirus HKU5', 'HKU5']}, {'subject': ['Tylonycteris ', 'bat'], 'object': ['Tylonycteris bat coronavirus HKU4', 'HKU4']}, {'subject': ['Tylonycteris pachypus', 'bat'], 'object': ['Tylonycteris bat coronavirus HKU4', 'HKU4']}]}",Emerging Infectious Diseases,19,3,456--459,,
publication,article,"Close Relative of Human Middle East Respiratory Syndrome Coronavirus in Bat, South Africa","[{'name': 'Ithete, Ndapewa Laudika'}, {'name': 'Stoffberg, Samantha'}, {'name': 'Corman, Victor Max'}, {'name': 'Cottontail, Veronika M.'}, {'name': 'Richards, Leigh Rosanne'}, {'name': 'Schoeman, M. Corrie'}, {'name': 'Drosten, Christian'}, {'name': 'Drexler, Jan Felix'}, {'name': 'Preiser, Wolfgang'}]",No abstract found,open,cc-by,2013-10-31,10.3201/eid1910.130946,"[{'name': 'Plazi', 'type': 'DataCurator'}]","[{'identifier': 'biosyslit'}, {'identifier': 'coviho'}, {'identifier': 'globalbioticinteractions'}]",eng,"['Coronaviridae', 'Viridae', 'corona viruses', 'biotic associations', 'CETAF-taskforce', 'covid', 'covid-19', 'pathogens', 'biotic interaction', 'virus-host', 'biotic relations', 'pathogen-host']","{'obo:RO_0002453': [{'subject': ['Hypsugo savii', 'bat'], 'object': ['2c bat CoVs']}, {'subject': ['Neoromicia cf. zuluensis', 'bat'], 'object': ['PML/2011']}, {'subject': ['Nyctinomops', 'bat'], 'object': ['2c bat CoVs']}, {'subject': ['Pipistrellus', 'bat'], 'object': ['European Pipistrellus bat–derived CoVs']}, {'subject': ['Rhinolophus sinicus', 'bat'], 'object': ['Rs672']}]}",Emerging Infectious Diseases,19,10,1697--1699,,
