doi,filename,id,bucket,data,PDFs,Status
10.1038/ismej.2015.138,,3949242,https://zenodo.org/api/files/948cfc12-df5f-4a62-8cbb-0c36b2fe8844,Pushed,,
10.1038/s41586-018-0010-9,,3949244,https://zenodo.org/api/files/33ec98a4-6dcc-458d-b7dc-1055697b0af7,Pushed,,
10.1016/j.celrep.2018.07.045,,3949246,https://zenodo.org/api/files/5b1a4d8b-c853-4386-9b40-bc03620d275f,Pushed,,
10.1073/pnas.1814995116,,3949248,https://zenodo.org/api/files/1156162b-317c-431f-9092-b8548cf229fe,Pushed,,
10.1016/j.virol.2007.06.009,,3949250,https://zenodo.org/api/files/57de1a2b-e26b-4b8d-8c2a-44db39387460,Pushed,,
10.1016/j.virol.2014.10.017,,3949252,https://zenodo.org/api/files/ccbd3dc4-b94e-4f7a-b468-75381cff55a8,Pushed,,
10.1016/j.virol.2017.03.019,,3949254,https://zenodo.org/api/files/3ea5d2d2-95f3-49cb-af28-d6c805f731e0,Pushed,,
10.1007/s12250-016-3713-9,,3949256,https://zenodo.org/api/files/55356bed-1e48-431a-9162-f19d556e2684,Pushed,,
10.1007/s12250-016-3727-3,,3949258,https://zenodo.org/api/files/55542a0a-10d1-4909-b90d-3d204f412950,Pushed,,
10.1038/s41426-018-0155-5,,3949260,https://zenodo.org/api/files/f528cfad-25de-4a9c-a37b-44550a21b650,Pushed,,
10.1159/000149135,,3949262,https://zenodo.org/api/files/62b2e029-6a9d-4e7e-8df9-4a2d380c33d0,Pushed,,
10.1002/jmv.25682,,3949264,https://zenodo.org/api/files/95e583af-5575-4a2d-aa66-102cefe64fcc,Pushed,,
10.1007/s00705-013-1659-x,,3949266,https://zenodo.org/api/files/5c41cdfd-2015-4e68-bea5-9a2c676b6879,Pushed,,
10.1093/infdis/jiy018,,3949268,https://zenodo.org/api/files/962e58fa-81d8-453e-b21a-d8570e99e5ca,Pushed,,
10.1073/pnas.1310744110,,3949270,https://zenodo.org/api/files/42b4216e-8a37-4003-b91c-7661ab349325,Pushed,,
10.1016/j.cub.2020.03.022,,3949272,https://zenodo.org/api/files/615be75f-a4d8-4069-9db4-a124394a80a9,Pushed,,
10.1038/s41598-017-11384-w,,3949276,https://zenodo.org/api/files/162cc1fc-098c-4ef4-aab4-079e9a8272e0,Pushed,,
10.1371/journal.pone.0052752,,3949278,https://zenodo.org/api/files/9685729d-65ca-4001-af8a-25a0bb7f4ed9,Pushed,,
10.1016/j.ijppaw.2014.06.003,,3949280,https://zenodo.org/api/files/e2a45e45-2d01-47d9-9c70-6e18a9658f57,Pushed,,
10.1093/infdis/jiv476,,3949282,https://zenodo.org/api/files/09b210a3-9b94-403d-b34b-8ee5c77f5270,Pushed,,
10.1111/ele.12491,,3949284,https://zenodo.org/api/files/54a616cc-4f83-4a6c-bb39-01f1e0ea7718,Pushed,,
10.1128/JVI.01394-09,,3949288,https://zenodo.org/api/files/9bae9a8e-0660-4f1b-adff-abc2d5bd1392,Pushed,,
