doi,filename,id,bucket,data,PDFs,Status
10.1038/ismej.2015.138,ISMEJ.10.3.609-620.pdf,3949242,https://zenodo.org/api/files/948cfc12-df5f-4a62-8cbb-0c36b2fe8844,Pushed,Ok!,
10.1038/s41586-018-0010-9,Nature.556.7700.255-258.pdf,3949244,https://zenodo.org/api/files/33ec98a4-6dcc-458d-b7dc-1055697b0af7,Pushed,Ok!,
10.1016/j.celrep.2018.07.045,CellRep.24.7.1730-1737_extended.pdf,3949246,https://zenodo.org/api/files/5b1a4d8b-c853-4386-9b40-bc03620d275f,Pushed,Ok!,
10.1073/pnas.1814995116,PNAS.116.23.11351-11360.pdf,3949248,https://zenodo.org/api/files/1156162b-317c-431f-9092-b8548cf229fe,Pushed,Ok!,
10.1016/j.virol.2007.06.009,Virology.367.2.428-439.pdf,3949250,https://zenodo.org/api/files/57de1a2b-e26b-4b8d-8c2a-44db39387460,Pushed,Ok!,
10.1016/j.virol.2014.10.017,Virology.474.19-27.pdf,3949252,https://zenodo.org/api/files/ccbd3dc4-b94e-4f7a-b468-75381cff55a8,Pushed,Ok!,
10.1016/j.virol.2017.03.019,Virology.507.1-10.pdf,3949254,https://zenodo.org/api/files/3ea5d2d2-95f3-49cb-af28-d6c805f731e0,Pushed,Ok!,
10.1007/s12250-016-3713-9,VirolSin.31.1.31-40.pdf,3949256,https://zenodo.org/api/files/55356bed-1e48-431a-9162-f19d556e2684,Pushed,Ok!,
10.1007/s12250-016-3727-3,VirolSin.31.1.69-77.pdf,3949258,https://zenodo.org/api/files/55542a0a-10d1-4909-b90d-3d204f412950,Pushed,Ok!,
10.1038/s41426-018-0155-5,EmergMicrobesInfect.7.1.154.pdf,3949260,https://zenodo.org/api/files/f528cfad-25de-4a9c-a37b-44550a21b650,Pushed,Ok!,
10.1159/000149135,Intervirology.13.5.275-83.pdf,3949262,https://zenodo.org/api/files/62b2e029-6a9d-4e7e-8df9-4a2d380c33d0,Pushed,Ok!,
10.1002/jmv.25682,JMedVirol.2020.92.433–440.pdf,3949264,https://zenodo.org/api/files/95e583af-5575-4a2d-aa66-102cefe64fcc,Pushed,Ok!,
10.1007/s00705-013-1659-x,ArchVirol.158.1631–1636 .pdf,3949266,https://zenodo.org/api/files/5c41cdfd-2015-4e68-bea5-9a2c676b6879,Pushed,Ok!,
10.1093/infdis/jiy018,JInfectDis.218.2.197-207.pdf,3949268,https://zenodo.org/api/files/962e58fa-81d8-453e-b21a-d8570e99e5ca,Pushed,Ok!,
10.1073/pnas.1310744110,PNAS.110.41.16598-603.pdf,3949270,https://zenodo.org/api/files/42b4216e-8a37-4003-b91c-7661ab349325,Pushed,Ok!,
10.1016/j.cub.2020.03.022,CurrBiol.30.1-6.extended.pdf,3949272,https://zenodo.org/api/files/615be75f-a4d8-4069-9db4-a124394a80a9,Pushed,Ok!,
10.1038/s41598-017-11384-w,SciRep.7.1.10917.pdf,3949276,https://zenodo.org/api/files/162cc1fc-098c-4ef4-aab4-079e9a8272e0,Pushed,Ok!,
10.1371/journal.pone.0052752,PLoSOne.8.1.e52752.pdf,3949278,https://zenodo.org/api/files/9685729d-65ca-4001-af8a-25a0bb7f4ed9,Pushed,Ok!,
10.1016/j.ijppaw.2014.06.003,IntJParasitolParasitesWildl.3.2.161-170.pdf,3949280,https://zenodo.org/api/files/e2a45e45-2d01-47d9-9c70-6e18a9658f57,Pushed,Ok!,
10.1093/infdis/jiv476,JInfectDis.213.4.579-583.pdf,3949282,https://zenodo.org/api/files/09b210a3-9b94-403d-b34b-8ee5c77f5270,Pushed,Ok!,
10.1111/ele.12491,EcolLett.18.1153–1162.pdf,3949284,https://zenodo.org/api/files/54a616cc-4f83-4a6c-bb39-01f1e0ea7718,Pushed,Ok!,
10.1128/JVI.01394-09,JVirol.84.7.3134–3146.pdf,3949288,https://zenodo.org/api/files/9bae9a8e-0660-4f1b-adff-abc2d5bd1392,Pushed,Ok!,
